"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"62","170.7033122713579","51.517877888588856","0.0272216796875","0.030029296875","0.0244140625","1560","0.0006300968666949639","24","0.0006300968666949639","0","0.0006300968666949639","0.0006300968666949639","61:68;63:68","61:0.002617161248660016;63:0.0056864088159401804","61:0.0023679576156956095;63:0.00782728898404153","0.0272216796875","Yes"
"63","191.09356082397602","11.357571472467749","0.0418701171875","0.051513671875","0.0322265625","1560","0.0005240334869691147","24","0.0005240334869691147","0","0.0005240334869691147","0.0005240334869691147","56:68;62:68;64:68","56:0.004803229676354326;62:0.0056864088159401804;64:0.05489106479666098","56:0.005226279523230126;62:0.00782728898404153;64:0.07439405407387709","0.0418701171875","Yes"
"64","123.49120072548412","119.76532219726077","0.00439453125","0.00732421875","0.00146484375","1560","0.00047692885172800805","24","0.00047692885172800805","0","0.00047692885172800805","0.00047692885172800805","65:68;63:68","65:0.0029422930039221806;63:0.05489106479666098","65:0.0026291566544481837;63:0.07439405407387709","0.00439453125","Yes"
"65","121.13100060111903","72.67493262118211","0.0889892578125","0.11669921875","0.061279296875","1560","0.0004171149865703755","24","0.0004171149865703755","0","0.0004171149865703755","0.0004171149865703755","64:68;66:68;77:68","64:0.0029422930039221806;66:0.0028448392089989727;77:0.003532077919812443","64:0.0026291566544481837;66:0.0035003057777252544;77:0.0034156760028878075","0.0889892578125","Yes"
"66","121.63089151260048","16.51674884499349","0.00927734375","0.012939453125","0.005615234375","1560","0.00028429094352314647","24","0.00028429094352314647","0","0.00028429094352314647","0.00028429094352314647","65:68;67:68","65:0.0028448392089989727;67:0.0028027855168208937","65:0.0035003057777252544;67:0.002926647171133251","0.00927734375","Yes"
"67","161.71246480073498","69.52486154375858","0.0439453125","0.05419921875","0.03369140625","1560","0.00031541076637885184","24","0.00031541076637885184","0","0.00031541076637885184","0.00031541076637885184","68:68;57:68;66:68","68:0.002555913404307858;57:0.008255041735851065;66:0.0028027855168208937","68:0.002513111314977362;57:0.01044302446631068;66:0.002926647171133251","0.0439453125","Yes"
"68","109.5345699118495","105.95613125843947","0.010009765625","0.013671875","0.00634765625","1560","0.0002545791281483171","24","0.0002545791281483171","0","0.0002545791281483171","0.0002545791281483171","67:68;69:68","67:0.002555913404307858;69:0.003338638003239608","67:0.002513111314977362;69:0.003976124085056765","0.010009765625","Yes"
"69","157.50378028351167","79.13949691558906","0.031005859375","0.043701171875","0.018310546875","1560","0.0003015260474328273","24","0.0003015260474328273","0","0.0003015260474328273","0.0003015260474328273","78:68;68:68;70:68","78:0.0021531098456453457;68:0.003338638003239608;70:0.004025581043319432","78:0.001646862667890131;68:0.003976124085056765;70:0.0023413248575332724","0.031005859375","Yes"
"70","127.53981151671923","118.43394783487264","0.0068359375","0.0107421875","0.0029296875","1560","0.0004372696744770304","24","0.0004372696744770304","0","0.0004372696744770304","0.0004372696744770304","69:68;71:68","69:0.004025581043319432;71:0.003262845476950771","69:0.0023413248575332724;71:0.002400335084464411","0.0068359375","Yes"
"71","144.77629605491634","117.84111549503524","0.021484375","0.026611328125","0.016357421875","1560","0.00018663244161915628","24","0.00018663244161915628","0","0.00018663244161915628","0.00018663244161915628","72:68;58:68;70:68","58:0.0022546491972459393;70:0.003262845476950771","72:0.0857042431569327;58:0.0018486010810137288;70:0.002400335084464411","0.021484375","Yes"
"72","10.459335419923361","99.15649886504495","0.4822998046875","0.120361328125","0.84423828125","1560","","24","","0","","","73:68;71:68","","73:0.00046815127554875047;71:0.0857042431569327","0.4822998046875","Yes"
"73","90.91963033629604","58.33979739214808","0.0869140625","0.076416015625","0.097412109375","1560","0.0002541039403650568","24","0.0002541039403650568","0","0.0002541039403650568","0.0002541039403650568","72:68;74:68;79:68","74:0.0022374857559927797;79:0.0033443392980467","72:0.00046815127554875047;74:0.0018199880852619033;79:0.014852074204137894","0.0869140625","Yes"
"74","117.2610054207012","108.8799548272586","0.0123291015625","0.0146484375","0.010009765625","1560","0.0003531421510880906","24","0.0003531421510880906","0","0.0003531421510880906","0.0003531421510880906","73:68;75:68","73:0.0022374857559927797;75:0.0020566859182730435","73:0.0018199880852619033;75:0.002240855460676483","0.0123291015625","Yes"
"75","184.61382223222125","149.1019754099353","0.0123291015625","0.01708984375","0.007568359375","1560","0.0003612450437807398","24","0.0003612450437807398","0","0.0003612450437807398","0.0003612450437807398","59:68;74:68","59:0.0031217782032946506;74:0.0020566859182730435","59:0.002504824757647711;74:0.002240855460676483","0.0123291015625","Yes"
"76","186.78862838030253","93.6065881246372","0.0328369140625","0.03466796875","0.031005859375","1560","0.00028501266210722583","24","0.00028501266210722583","0","0.00028501266210722583","0.00028501266210722583","81:68;61:68","81:0.00149288882407414;61:0.002275443338556865","81:0.0014815664533313344;61:0.0033399509935942984","0.0328369140625","Yes"
"77","151.15198224597665","47.2278235199404","0.01171875","0.0107421875","0.0126953125","1560","0.00031943757394456006","24","0.00031943757394456006","0","0.00031943757394456006","0.00031943757394456006","85:68;65:68","85:0.002570440898416959;65:0.003532077919812443","85:0.002388084775022309;65:0.0034156760028878075","0.01171875","Yes"
"78","98.23273693648312","94.97414775226832","0.0242919921875","0.0205078125","0.0244140625","1560","0.0002372817005782431","24","0.0002372817005782431","0","0.0002372817005782431","0.0002372817005782431","69:68;89:68","69:0.0021531098456453457;89:0.0031088020142984174","69:0.001646862667890131;89:0.002905670136103655","0.0242919921875","Yes"
"79","60.17159019640134","40.88616789721667","0.0108642578125","0.014404296875","0.00732421875","1560","0.00021242375521201656","24","0.00021242375521201656","0","0.00021242375521201656","0.00021242375521201656","93:68;73:68","93:0.0028172665376312023;73:0.0033443392980467","93:0.002668961924726182;73:0.014852074204137894","0.0108642578125","Yes"
"80","133.00107303882763","113.99514513167486","0.01318359375","0.017578125","0.0087890625","1560","0.00021145498023464454","24","0.00021145498023464454","0","0.00021145498023464454","0.00021145498023464454","81:68","81:0.002102925824119084","81:0.003150680017018348","0.01318359375","Yes"
"81","137.9106460705922","18.162452295732407","0.078125","0.05615234375","0.10009765625","1560","0.00016845928941603908","24","0.00016845928941603908","0","0.00016845928941603908","0.00016845928941603908","80:68;82:68;76:68","80:0.002102925824119084;82:0.006576086779378931;76:0.00149288882407414","80:0.003150680017018348;82:0.020600411017424908;76:0.0014815664533313344","0.078125","Yes"
"82","125.41823053972118","35.905223950641215","0.01025390625","0.017822265625","0.002685546875","1560","0.00023180282033603142","24","0.00023180282033603142","0","0.00023180282033603142","0.00023180282033603142","81:68;83:68","81:0.006576086779378931;83:0.0060506202571071754","81:0.020600411017424908;83:0.005655322872148594","0.01025390625","Yes"
